,name_x,city_x,index_dbase1,index_dbase2,status,JOB_START_DATE,JOB_END_DATE,EMPLOYER_STATE,name_y,city_y,st_cd,name,h2a_violtn_cnt,findings_start_date,findings_end_date,city,ld_dt
24,1.0,1.0,5399,297544,CERTIFICATION,2018-01-31,2018-07-19,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING CO, INC",0,2020-04-01,2020-06-30,SALINAS,2021-01-27 00:17:59-05:00
25,1.0,1.0,5555,297544,CERTIFICATION,2018-02-08,2018-07-28,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING CO, INC",0,2020-04-01,2020-06-30,SALINAS,2021-01-27 00:17:59-05:00
26,1.0,1.0,6076,297544,CERTIFICATION,2018-02-15,2018-07-27,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING CO, INC",0,2020-04-01,2020-06-30,SALINAS,2021-01-27 00:17:59-05:00
27,1.0,1.0,6108,297544,CERTIFICATION,2018-02-16,2018-07-27,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING CO, INC",0,2020-04-01,2020-06-30,SALINAS,2021-01-27 00:17:59-05:00
28,1.0,1.0,6497,297544,CERTIFICATION,2018-02-08,2018-07-21,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING CO, INC",0,2020-04-01,2020-06-30,SALINAS,2021-01-27 00:17:59-05:00
29,1.0,1.0,8526,297544,CERTIFICATION,2018-03-14,2018-08-01,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING CO, INC",0,2020-04-01,2020-06-30,SALINAS,2021-01-27 00:17:59-05:00
30,1.0,1.0,1841,300645,CERTIFICATION,2017-12-07,2018-05-31,CA,CARNEROS CREEK WINERY INC,NAPA,CA,CARNEROS CREEK WINERY INC,19,2017-12-07,2018-07-23,NAPA,2020-07-16 00:18:45-04:00
31,1.0,1.0,2172,264900,CERTIFICATION,2017-11-30,2018-06-14,CA,ANOROC VINEYARD MANAGEMENT LLC,NAPA,CA,CORTINA VINEYARD MANAGEMENT LLC,0,2018-01-01,2018-08-09,NAPA,2019-02-23 00:18:46-05:00
32,1.0,1.0,2172,302080,CERTIFICATION,2017-11-30,2018-06-14,CA,ANOROC VINEYARD MANAGEMENT LLC,NAPA,CA,CORONA VINEYARD MANAGEMENT LLC,355,2015-02-02,2019-02-25,NAPA,2021-04-15 00:18:39-04:00
33,1.0,1.0,11453,302080,CERTIFICATION,2018-04-24,2018-08-07,CA,BAZAN VINEYARD MANAGEMENT LLC,NAPA,CA,CORONA VINEYARD MANAGEMENT LLC,355,2015-02-02,2019-02-25,NAPA,2021-04-15 00:18:39-04:00
34,1.0,1.0,2172,305606,CERTIFICATION,2017-11-30,2018-06-14,CA,ANOROC VINEYARD MANAGEMENT LLC,NAPA,CA,"ANOROC VINEYARD MANAGEMENT, INC",28,2018-01-18,2019-02-25,NAPA,2021-04-15 00:18:40-04:00
35,1.0,1.0,2948,297262,CERTIFICATION,2018-02-12,2018-12-10,CA,BROTHERS BEST PRODUCE,SANTA MARIA,CA,"BROTHERS BEST LABOR, INC",131,2017-09-08,2019-09-08,SANTA MARIA,2020-10-07 13:04:29-04:00
36,1.0,1.0,8584,297262,CERTIFICATION,2018-02-22,2018-08-13,CA,BROTHERS BEST PRODUCE,SANTA MARIA,CA,"BROTHERS BEST LABOR, INC",131,2017-09-08,2019-09-08,SANTA MARIA,2020-10-07 13:04:29-04:00
37,1.0,1.0,9271,297262,CERTIFICATION,2018-03-16,2018-10-06,CA,BROTHERS BEST PRODUCE,SANTA MARIA,CA,"BROTHERS BEST LABOR, INC",131,2017-09-08,2019-09-08,SANTA MARIA,2020-10-07 13:04:29-04:00
38,1.0,1.0,3486,279472,CERTIFICATION,2017-12-14,2018-07-16,CA,PACIFICA PERSONNEL,SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
39,1.0,1.0,3694,279472,CERTIFICATION,2017-12-27,2018-07-16,CA,"PACIFICA PERSONNEL, INC",SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
40,1.0,1.0,3890,279472,CERTIFICATION,2018-01-08,2018-07-23,CA,PACIFICA PERSONNEL,SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
41,1.0,1.0,5250,279472,CERTIFICATION,2017-12-29,2018-07-16,CA,PACIFICA PERSONNEL,SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
42,1.0,1.0,5848,279472,CERTIFICATION,2018-01-26,2018-08-18,CA,"PACIFICA PERSONNEL, INC",SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
43,1.0,1.0,6150,279472,CERTIFICATION,2018-01-26,2018-07-17,CA,"PACIFICA PERSONNEL, INC",SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
44,1.0,1.0,6254,279472,CERTIFICATION,2018-02-02,2018-08-05,CA,"PACIFICA PERSONNEL, INC",SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
45,1.0,1.0,7349,279472,CERTIFICATION,2018-02-12,2018-08-23,CA,PACIFICA PERSONNEL,SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
46,1.0,1.0,9102,279472,CERTIFICATION,2018-03-07,2018-08-15,CA,"PACIFICA PERSONNEL, INC",SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
47,1.0,1.0,11656,279472,PARTIAL CERTIFICATION,2018-05-07,,CA,"PACIFICA PERSONNEL, INC",SANTA MARIA,CA,"PACIFICA PERSONNEL, INC",113,2019-04-10,2019-06-03,SANTA MARIA,2020-03-17 11:54:14-04:00
48,1.0,1.0,3791,297263,CERTIFICATION,2017-12-26,2018-07-23,CA,TALLEY FARMS,ARROYO GRANDE,CA,TALLEY FARMS,27,2019-03-01,2019-07-11,ARROYO GRANDE,2020-10-07 13:04:29-04:00
49,1.0,1.0,7950,297263,CERTIFICATION,2018-02-12,2018-08-16,CA,TALLEY FARMS,ARROYO GRANDE,CA,TALLEY FARMS,27,2019-03-01,2019-07-11,ARROYO GRANDE,2020-10-07 13:04:29-04:00
50,1.0,1.0,11532,297263,CERTIFICATION,2018-05-10,2018-09-17,CA,TALLEY FARMS,ARROYO GRANDE,CA,TALLEY FARMS,27,2019-03-01,2019-07-11,ARROYO GRANDE,2020-10-07 13:04:29-04:00
51,1.0,1.0,3823,224777,CERTIFICATION,2018-01-16,2018-06-19,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
52,1.0,1.0,3826,224777,CERTIFICATION,2018-01-19,2018-07-13,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
53,1.0,1.0,5190,224777,CERTIFICATION,2018-01-22,2018-07-22,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
54,1.0,1.0,5392,224777,CERTIFICATION,2018-02-01,2018-07-13,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
55,1.0,1.0,5470,224777,CERTIFICATION,2018-02-01,2018-07-18,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
56,1.0,1.0,5497,224777,CERTIFICATION,2018-02-07,2018-07-24,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
57,1.0,1.0,5560,224777,CERTIFICATION,2018-02-01,2018-07-16,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
58,1.0,1.0,9107,224777,CERTIFICATION,2018-03-28,2018-07-23,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
59,1.0,1.0,9473,224777,CERTIFICATION,2018-04-09,2018-08-16,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
60,1.0,1.0,9508,224777,CERTIFICATION,2018-04-02,2018-08-29,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
61,1.0,1.0,9623,224777,CERTIFICATION,2018-03-30,2018-08-19,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
62,1.0,1.0,10875,224777,CERTIFICATION,2018-05-04,2018-08-15,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
63,1.0,1.0,11003,224777,CERTIFICATION,2018-05-18,2018-09-23,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
64,1.0,1.0,11007,224777,CERTIFICATION,2018-05-22,2018-08-22,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
65,1.0,1.0,11252,224777,CERTIFICATION,2018-05-21,2018-09-09,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
66,1.0,1.0,11298,224777,CERTIFICATION,2018-05-24,2018-08-31,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
67,1.0,1.0,14451,224777,CERTIFICATION,2018-08-31,2019-01-09,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO, LLC",1,2015-05-06,2015-07-31,SALINAS,2017-11-06 11:04:32-05:00
68,1.0,1.0,3823,247471,CERTIFICATION,2018-01-16,2018-06-19,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
69,1.0,1.0,3826,247471,CERTIFICATION,2018-01-19,2018-07-13,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
70,1.0,1.0,5190,247471,CERTIFICATION,2018-01-22,2018-07-22,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
71,1.0,1.0,5392,247471,CERTIFICATION,2018-02-01,2018-07-13,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
72,1.0,1.0,5470,247471,CERTIFICATION,2018-02-01,2018-07-18,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
73,1.0,1.0,5497,247471,CERTIFICATION,2018-02-07,2018-07-24,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
74,1.0,1.0,5560,247471,CERTIFICATION,2018-02-01,2018-07-16,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
75,1.0,1.0,9107,247471,CERTIFICATION,2018-03-28,2018-07-23,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
76,1.0,1.0,9473,247471,CERTIFICATION,2018-04-09,2018-08-16,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
77,1.0,1.0,9508,247471,CERTIFICATION,2018-04-02,2018-08-29,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
78,1.0,1.0,9623,247471,CERTIFICATION,2018-03-30,2018-08-19,CA,ELKHORN PACKING CO LLC,SALINAS,CA,"ELKHORN PACKING CO ,LLC",0,2016-01-03,2016-06-08,SALINAS,2017-07-18 02:09:31-04:00
